LOC,NAME,CODETX,MFG,SER,KV,MVA,Year Test,Sample Day,Tested day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,NB
THG,KT1A,THGKT1A,ABB,57021,115/22,50,2024.0,2023-06-01,2023-06-10,5595,62186,2026.0,570.0,6.0,15.0,0.0,0.0,4.0,1.0,2.0,598.0,,19,
THG,KT1A,THGKT1A,ABB,57021,115/22,50,2024.0,2024-04-22,2024-05-26,4321,62450,3496.0,949.0,5.0,8.0,0.0,3.0,5.0,1.0,6.0,977.0,50,21,
TK2,KT1A,TK2KT1A,FUJI,AN69001T31,115/69/22,25,1998.0,2019-08-09,2019-08-23,19281,54201,1402.0,109.0,31.0,277.0,0.0,501.0,131.0,270.0,34.0,1353.0,48,16,ไม่น่าจะเป็นข้อมูลที่ได้จากเครื่อง DGA ที่ตรงกับใบแนบ (มั่วมา)
TK2,KT1A,TK2KT1A,FUJI,AN69001T31,115/69/22,25,1998.0,2020-08-16,2020-08-30,5082,54856,1451.0,119.0,35.0,58.0,0.0,5.0,180.0,0.0,45.0,442.0,50,26,
TK2,KT1A,TK2KT1A,FUJI,AN69001T31,115/69/22,25,1998.0,2021-08-02,2021-10-31,8839,62956,1298.0,195.0,10.0,64.0,0.0,16.0,196.0,0.0,29.0,510.0,52,26,
TK2,KT1A,TK2KT1A,FUJI,AN69001T31,115/69/22,25,1998.0,2022-09-04,2022-09-15,5245,62192,1775.0,230.0,6.0,22.0,0.0,18.0,197.0,6.0,116.0,595.0,57,17,
TK2,KT1A,TK2KT1A,FUJI,AN69001T31,115/69/22,25,1998.0,2023-05-03,2023-05-22,4503,60075,1881.0,199.0,2.0,56.0,0.0,14.0,248.0,21.0,143.0,683.0,35,14,
TK2,KT1A,TK2KT1A,FUJI,AN69001T31,115/69/22,25,1998.0,2024-05-24,2024-06-08,5921,77354,1518.0,291.0,2.0,128.0,0.0,17.0,246.0,20.0,175.0,879.0,60,15,
TK2,KT2A,TK2KT2A,FUJI,AN69003T4-1,115/22,25,1998.0,2019-08-09,2019-08-18,4356,32740,2473.0,122.0,8.0,28.0,0.0,0.0,68.0,0.0,32.0,258.0,48,12,-
TK2,KT2A,TK2KT2A,FUJI,AN69003T4-1,115/22,25,1998.0,2020-08-16,2020-08-30,3592,50123,2247.0,79.0,20.0,36.0,0.0,0.0,68.0,0.0,49.0,252.0,51,16,
TK2,KT2A,TK2KT2A,FUJI,AN69003T4-1,115/22,25,1998.0,2021-08-02,2021-11-01,8321,37860,2120.0,113.0,5.0,27.0,0.0,0.0,74.0,0.0,10.0,229.0,54,29,
