Tr.,MFG,KV,MVA,Age,Year Test,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,year_num,R1,R2,R3,R4,R5,Duval_Total,IRM_fault,DRM_fault,RRM_fault,DTM_fault,DPM_fault,fault_majority_vote,faults_index
58.0,MEIDEN,115/22,50,20,2023,29787,72583,2857.0,109.0,1.0,84,20.0,5.0,201.0,4.0,68.0,472.0,60,8,8,84.0,4.0,0.23809523809523808,10.05,0.024875621890547265,109.0,F1,Uncertain,Uncertain,T1,T3,F1,2
58.0,MEIDEN,115/22,50,20,2022,5713,61804,2522.0,86.0,26.0,78,20.0,14.0,218.0,20.0,131.0,573.0,64,13,7,3.0,1.4285714285714286,0.2564102564102564,10.9,0.06422018348623854,112.0,F1,Uncertain,Uncertain,T1,T3,F1,2
58.0,MEIDEN,115/22,50,20,2024,7280,51619,1228.0,52.0,5.0,11,20.0,2.0,25.0,25.0,28.0,123.0,53,15,9,2.2,10.0,1.8181818181818181,1.25,0.08,33.0,F1,Uncertain,Uncertain,PD,T3,F1,2
58.0,MEIDEN,115/22,50,20,2020,7863,48725,2756.0,128.0,42.0,130,20.0,35.0,311.0,25.0,170.0,781.0,64,16,5,3.0952380952380953,0.5714285714285714,0.15384615384615385,15.55,0.11254019292604502,185.0,F1,Uncertain,Uncertain,T1,T3,F1,2
58.0,MEIDEN,115/22,50,20,2021,11171,60485,2092.0,15.0,20.0,15,20.0,2.0,253.0,25.0,126.0,431.0,36,22,6,0.75,10.0,1.3333333333333333,12.65,0.007905138339920948,37.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
59.0,MEIDEN,115/22,50,16,2022,4465,40315,1633.0,161.0,22.0,108,20.0,6.0,361.0,25.0,107.0,765.0,64,11,7,4.909090909090909,3.3333333333333335,0.18518518518518517,18.05,0.01662049861495845,134.0,F1,Uncertain,Uncertain,T1,T3,F1,2
59.0,MEIDEN,115/22,50,16,2023,4991,41428,1631.0,168.0,21.0,115,20.0,5.0,354.0,211.0,196.0,1070.0,59,13,8,5.476190476190476,4.0,0.17391304347826086,17.7,0.014124293785310734,140.0,F1,Uncertain,Uncertain,T1,T3,F1,2
59.0,MEIDEN,115/22,50,16,2020,16670,72760,1355.0,107.0,20.0,83,20.0,1.0,327.0,80.0,264.0,882.0,54,11,5,4.15,20.0,0.24096385542168675,16.35,0.0030581039755351682,104.0,F1,Uncertain,Uncertain,T1,T3,F1,2
59.0,MEIDEN,115/22,50,16,2021,7762,73495,1621.0,126.0,42.0,81,20.0,3.0,223.0,69.0,180.0,724.0,53,12,6,1.9285714285714286,6.666666666666667,0.24691358024691357,11.15,0.013452914798206279,104.0,F1,Uncertain,Uncertain,T1,T3,F1,2
59.0,MEIDEN,115/22,50,16,2024,7577,63962,1631.0,207.0,31.0,142,20.0,2.0,400.0,13.0,251.0,1046.0,58,17,9,4.580645161290323,10.0,0.14084507042253522,20.0,0.005,164.0,F1,Uncertain,Uncertain,T1,T3,F1,2
60.0,MEIDEN,115/22,50,16,2024,9399,47023,1875.0,194.0,28.0,103,20.0,5.0,340.0,12.0,197.0,879.0,62,15,9,3.6785714285714284,4.0,0.1941747572815534,17.0,0.014705882352941176,128.0,F1,Uncertain,Uncertain,T1,T3,F1,2
60.0,MEIDEN,115/22,50,16,2023,3330,50390,2422.0,192.0,13.0,109,20.0,2.0,323.0,83.0,269.0,991.0,60,8,8,8.384615384615385,10.0,0.1834862385321101,16.15,0.006191950464396285,131.0,F1,Uncertain,Uncertain,T1,T3,F1,2
60.0,MEIDEN,115/22,50,16,2022,4820,42400,2924.0,193.0,13.0,109,20.0,35.0,324.0,104.0,273.0,1016.0,64,11,7,8.384615384615385,0.5714285714285714,0.1834862385321101,16.2,0.10802469135802469,164.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
60.0,MEIDEN,115/22,50,16,2020,5610,59630,3019.0,366.0,34.0,161,20.0,35.0,434.0,96.0,317.0,1408.0,59,10,5,4.735294117647059,0.5714285714285714,0.12422360248447205,21.7,0.08064516129032258,216.0,F1,Uncertain,Uncertain,T1,T3,F1,2
60.0,MEIDEN,115/22,50,16,2019,2826,48024,2145.0,275.0,26.0,115,20.0,5.0,279.0,25.0,164.0,864.0,34,7,4,4.423076923076923,4.0,0.17391304347826086,13.95,0.017921146953405017,140.0,F1,Uncertain,Uncertain,T1,T3,F1,2
60.0,MEIDEN,115/22,50,16,2021,6408,56553,3166.0,387.0,40.0,105,20.0,2.0,313.0,85.0,237.0,1169.0,58,13,6,2.625,10.0,0.19047619047619047,15.65,0.006389776357827476,127.0,F1,Uncertain,Uncertain,T1,T3,F1,2
61.0,NATIONAL,115/22,50,23,2021,13052,53950,399.0,6.0,4.0,60,20.0,35.0,55.0,25.0,37.0,10.0,40,31,6,15.0,0.5714285714285714,0.3333333333333333,2.75,0.6363636363636364,115.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
61.0,NATIONAL,115/22,50,23,2022,4260,47610,2432.0,530.0,9.0,2,20.0,1.0,1.0,3.0,3.0,549.0,30,11,7,0.2222222222222222,20.0,10.0,0.05,1.0,23.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
61.0,NATIONAL,115/22,50,23,2023,21169,71375,2484.0,898.0,18.0,5,20.0,1.0,3.0,6.0,5.0,936.0,36,17,8,0.2777777777777778,20.0,4.0,0.15,0.3333333333333333,26.0,F1,Uncertain,Uncertain,PD,PD,PD,3
61.0,NATIONAL,115/22,50,23,2024,16936,62804,2782.0,733.0,6.0,7,20.0,1.0,2.0,2.0,4.0,755.0,45,20,9,1.1666666666666667,20.0,2.857142857142857,0.1,0.5,28.0,F1,Uncertain,Uncertain,PD,PD,PD,3
62.0,ABB,115/22,50,13,2021,22404,58999,648.0,296.0,13.0,2,20.0,3.0,55.0,25.0,37.0,314.0,41,27,6,0.15384615384615385,6.666666666666667,10.0,2.75,0.05454545454545454,25.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
62.0,ABB,115/22,50,13,2018,7183,48161,1218.0,301.0,10.0,60,20.0,35.0,55.0,25.0,37.0,311.0,43,23,3,6.0,0.5714285714285714,0.3333333333333333,2.75,0.6363636363636364,115.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
62.0,ABB,115/22,50,13,2019,16630,51241,1630.0,691.0,46.0,15,20.0,10.0,14.0,19.0,17.0,812.0,45,12,4,0.32608695652173914,2.0,1.3333333333333333,0.7,0.7142857142857143,45.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
62.0,ABB,115/22,50,13,2020,12321,48905,1829.0,437.0,25.0,2,20.0,35.0,1.0,25.0,37.0,465.0,43,20,5,0.08,0.5714285714285714,10.0,0.05,35.0,57.0,Uncertain,Uncertain,Uncertain,Uncertain,PD,PD,3
62.0,ABB,115/22,50,13,2022,12442,60017,2381.0,799.0,3.0,7,20.0,5.0,1.0,1.0,3.0,819.0,39,14,7,2.3333333333333335,4.0,2.857142857142857,0.05,5.0,32.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
62.0,ABB,115/22,50,13,2023,24306,64387,2325.0,788.0,24.0,5,20.0,5.0,1.0,1.0,1.0,825.0,32,10,8,0.20833333333333334,4.0,4.0,0.05,5.0,30.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
62.0,ABB,115/22,50,13,2024,32920,44650,2343.0,798.0,3.0,6,20.0,8.0,1.0,28.0,1.0,845.0,41,20,9,2.0,2.5,3.3333333333333335,0.05,8.0,34.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
63.0,ABB,115/22,50,14,2024,35020,43530,1588.0,441.0,5.0,5,20.0,6.0,1.0,12.0,1.0,471.0,41,12,9,1.0,3.3333333333333335,4.0,0.05,6.0,31.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
63.0,ABB,115/22,50,14,2023,16967,57905,1274.0,455.0,3.0,2,20.0,3.0,1.0,1.0,1.0,466.0,32,5,8,0.6666666666666666,6.666666666666667,10.0,0.05,3.0,25.0,Uncertain,Uncertain,Uncertain,PD,Uncertain,PD,3
63.0,ABB,115/22,50,14,2022,18543,61584,2436.0,456.0,5.0,2,20.0,35.0,1.0,25.0,1.0,465.0,39,11,7,0.4,0.5714285714285714,10.0,0.05,35.0,57.0,Uncertain,Uncertain,D2,Uncertain,T1,D2,1
63.0,ABB,115/22,50,14,2020,7726,48851,3022.0,193.0,119.0,112,20.0,6.0,270.0,35.0,148.0,883.0,45,24,5,0.9411764705882353,3.3333333333333335,0.17857142857142858,13.5,0.022222222222222223,138.0,F1,Uncertain,Uncertain,T1,T3,F1,2
63.0,ABB,115/22,50,14,2019,10374,48462,1340.0,316.0,8.0,60,20.0,35.0,55.0,25.0,37.0,324.0,44,22,4,7.5,0.5714285714285714,0.3333333333333333,2.75,0.6363636363636364,115.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
63.0,ABB,115/22,50,14,2021,20581,60876,3257.0,494.0,54.0,3,20.0,1.0,1.0,1.0,1.0,555.0,40,25,6,0.05555555555555555,20.0,6.666666666666667,0.05,1.0,24.0,Uncertain,Uncertain,Uncertain,PD,PD,PD,3
64.0,MEIDEN,115/22,50,18,2024,3195,21680,2965.0,260.0,9.0,52,20.0,5.0,59.0,25.0,36.0,421.0,58,10,9,5.777777777777778,4.0,0.38461538461538464,2.95,0.0847457627118644,77.0,F1,Uncertain,Uncertain,PD,T3,F1,2
64.0,MEIDEN,115/22,50,18,2023,5603,43271,3059.0,271.0,8.0,66,20.0,3.0,52.0,2.0,14.0,416.0,36,12,8,8.25,6.666666666666667,0.30303030303030304,2.6,0.057692307692307696,89.0,F1,Uncertain,Uncertain,T1,T3,F1,2
64.0,MEIDEN,115/22,50,18,2021,9917,69237,845.0,110.0,32.0,34,20.0,35.0,16.0,25.0,37.0,192.0,36,13,6,1.0625,0.5714285714285714,0.5882352941176471,0.8,2.1875,89.0,Uncertain,Uncertain,Uncertain,Uncertain,T3,T3,6
64.0,MEIDEN,115/22,50,18,2022,14083,68204,1464.0,115.0,12.0,42,20.0,17.0,30.0,6.0,17.0,239.0,36,13,7,3.5,1.1764705882352942,0.47619047619047616,1.5,0.5666666666666667,79.0,F1,Uncertain,Uncertain,PD,T3,F1,2
65.0,MEIDEN,115/22,50,17,2020,3204,44035,934.0,116.0,47.0,60,20.0,35.0,55.0,25.0,37.0,223.0,36,8,5,1.2765957446808511,0.5714285714285714,0.3333333333333333,2.75,0.6363636363636364,115.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
65.0,MEIDEN,115/22,50,17,2021,7077,45997,2088.0,142.0,9.0,47,20.0,35.0,95.0,25.0,11.0,304.0,36,13,6,5.222222222222222,0.5714285714285714,0.425531914893617,4.75,0.3684210526315789,102.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
65.0,MEIDEN,115/22,50,17,2022,3981,47772,1733.0,107.0,18.0,63,20.0,22.0,106.0,36.0,72.0,424.0,36,8,7,3.5,0.9090909090909091,0.31746031746031744,5.3,0.20754716981132076,105.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
65.0,MEIDEN,115/22,50,17,2023,5395,44786,5366.0,311.0,13.0,114,20.0,5.0,170.0,4.0,55.0,672.0,36,15,8,8.76923076923077,4.0,0.17543859649122806,8.5,0.029411764705882353,139.0,F1,Uncertain,Uncertain,T1,T3,F1,2
65.0,MEIDEN,115/22,50,17,2024,5428,43244,2429.0,128.0,6.0,35,20.0,4.0,103.0,25.0,74.0,350.0,60,11,9,5.833333333333333,5.0,0.5714285714285714,5.15,0.038834951456310676,59.0,F1,Uncertain,Uncertain,PD,T3,F1,2
66.0,MEIDEN,115/22,50,20,2020,5936,65684,4158.0,131.0,41.0,155,20.0,35.0,612.0,25.0,385.0,1324.0,51,12,5,3.7804878048780486,0.5714285714285714,0.12903225806451613,30.6,0.05718954248366013,210.0,F1,Uncertain,Uncertain,T1,T3,F1,2
66.0,MEIDEN,115/22,50,20,2021,4983,65524,4967.0,142.0,8.0,105,20.0,35.0,473.0,25.0,312.0,1040.0,65,12,6,13.125,0.5714285714285714,0.19047619047619047,23.65,0.07399577167019028,160.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
66.0,MEIDEN,115/22,50,20,2022,5082,75984,4701.0,119.0,9.0,112,20.0,4.0,508.0,25.0,339.0,1091.0,47,8,7,12.444444444444445,5.0,0.17857142857142858,25.4,0.007874015748031496,136.0,F1,Uncertain,Uncertain,T1,T3,F1,2
66.0,MEIDEN,115/22,50,20,2023,6504,55232,3045.0,78.0,31.0,147,20.0,5.0,563.0,796.0,96.0,1716.0,52,8,8,4.741935483870968,4.0,0.1360544217687075,28.15,0.008880994671403197,172.0,F1,Uncertain,Uncertain,T1,T3,F1,2
66.0,MEIDEN,115/22,50,20,2024,7432,77442,3811.0,88.0,10.0,181,20.0,8.0,749.0,13.0,355.0,1404.0,48,12,9,18.1,2.5,0.11049723756906077,37.45,0.010680907877169559,209.0,F1,Uncertain,Uncertain,T1,T3,F1,2
67.0,MEIDEN,115/22,50,20,2023,6807,19776,3588.0,98.0,9.0,119,20.0,9.0,389.0,61.0,104.0,789.0,67,4,8,13.222222222222221,2.2222222222222223,0.16806722689075632,19.45,0.02313624678663239,148.0,F1,Uncertain,Uncertain,T1,T3,F1,2
67.0,MEIDEN,115/22,50,20,2022,4308,64513,4554.0,139.0,9.0,94,20.0,5.0,355.0,9.0,234.0,845.0,62,11,7,10.444444444444445,4.0,0.2127659574468085,17.75,0.014084507042253521,119.0,F1,Uncertain,Uncertain,T1,T3,F1,2
67.0,MEIDEN,115/22,50,20,2024,9597,56583,3912.0,107.0,7.0,143,20.0,9.0,467.0,15.0,272.0,1020.0,69,10,9,20.428571428571427,2.2222222222222223,0.13986013986013987,23.35,0.019271948608137045,172.0,F1,Uncertain,Uncertain,T1,T3,F1,2
67.0,MEIDEN,115/22,50,20,2020,10397,47483,4084.0,134.0,50.0,172,20.0,35.0,558.0,25.0,347.0,1261.0,61,17,5,3.44,0.5714285714285714,0.11627906976744186,27.9,0.06272401433691756,227.0,F1,Uncertain,Uncertain,T1,T3,F1,2
67.0,MEIDEN,115/22,50,20,2021,7115,60994,4364.0,145.0,7.0,171,20.0,2.0,485.0,25.0,196.0,1006.0,71,13,6,24.428571428571427,10.0,0.11695906432748537,24.25,0.004123711340206186,193.0,F1,Uncertain,Uncertain,T1,T3,F1,2
68.0,FUJI,115/22,50,24,2024,36000,66087,2150.0,76.0,1.0,60,20.0,2.0,155.0,2.0,55.0,291.0,54,15,9,60.0,10.0,0.3333333333333333,7.75,0.012903225806451613,82.0,F1,Uncertain,Uncertain,PD,T3,F1,2
68.0,FUJI,115/22,50,24,2023,6486,57392,1979.0,68.0,6.0,44,20.0,19.0,144.0,6.0,88.0,375.0,63,19,8,7.333333333333333,1.0526315789473684,0.45454545454545453,7.2,0.13194444444444445,83.0,F1,Uncertain,Uncertain,PD,T3,F1,2
68.0,FUJI,115/22,50,24,2021,8497,43926,2592.0,102.0,9.0,54,20.0,35.0,179.0,25.0,115.0,459.0,68,12,6,6.0,0.5714285714285714,0.37037037037037035,8.95,0.19553072625698323,109.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
68.0,FUJI,115/22,50,24,2022,8360,60858,2050.0,214.0,16.0,254,20.0,35.0,181.0,25.0,81.0,746.0,36,30,7,15.875,0.5714285714285714,0.07874015748031496,9.05,0.19337016574585636,309.0,F1,Uncertain,Uncertain,T1,T3,F1,2
69.0,VOLTA WERKE,115/22,50,30,2020,2498,54193,3391.0,145.0,12.0,99,20.0,14.0,177.0,26.0,109.0,582.0,70,7,5,8.25,1.4285714285714286,0.20202020202020202,8.85,0.07909604519774012,133.0,F1,Uncertain,Uncertain,T1,T3,F1,2
69.0,VOLTA WERKE,115/22,50,30,2021,6218,54196,1747.0,228.0,53.0,234,20.0,23.0,177.0,25.0,91.0,806.0,36,19,6,4.415094339622642,0.8695652173913043,0.08547008547008547,8.85,0.12994350282485875,277.0,F1,Uncertain,Uncertain,T1,T3,F1,2
69.0,VOLTA WERKE,115/22,50,30,2022,4018,71374,1653.0,194.0,34.0,54,20.0,29.0,99.0,21.0,76.0,507.0,68,11,7,1.588235294117647,0.6896551724137931,0.37037037037037035,4.95,0.29292929292929293,103.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
69.0,VOLTA WERKE,115/22,50,30,2023,7487,70359,2015.0,264.0,40.0,24,20.0,20.0,118.0,19.0,90.0,575.0,56,15,8,0.6,1.0,0.8333333333333334,5.9,0.1694915254237288,64.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
69.0,VOLTA WERKE,115/22,50,30,2024,4560,73857,3288.0,418.0,66.0,62,20.0,30.0,110.0,33.0,94.0,813.0,56,30,9,0.9393939393939394,0.6666666666666666,0.3225806451612903,5.5,0.2727272727272727,112.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
70.0,MEIDEN,115/22,50,16,2019,4770,53080,528.0,76.0,47.0,58,20.0,2.0,222.0,29.0,172.0,606.0,50,11,4,1.2340425531914894,10.0,0.3448275862068966,11.1,0.009009009009009009,80.0,F1,Uncertain,Uncertain,PD,T3,F1,2
70.0,MEIDEN,115/22,50,16,2020,8768,40222,693.0,61.0,11.0,42,20.0,6.0,191.0,25.0,79.0,390.0,59,9,5,3.8181818181818183,3.3333333333333335,0.47619047619047616,9.55,0.031413612565445025,68.0,F1,Uncertain,Uncertain,PD,T3,F1,2
70.0,MEIDEN,115/22,50,16,2021,2243,56270,785.0,82.0,6.0,53,20.0,6.0,237.0,25.0,156.0,540.0,58,12,6,8.833333333333334,3.3333333333333335,0.37735849056603776,11.85,0.02531645569620253,79.0,F1,Uncertain,Uncertain,PD,T3,F1,2
70.0,MEIDEN,115/22,50,16,2022,4312,52234,804.0,103.0,53.0,66,20.0,7.0,251.0,25.0,152.0,632.0,54,5,7,1.2452830188679245,2.857142857142857,0.30303030303030304,12.55,0.027888446215139442,93.0,F1,Uncertain,Uncertain,T1,T3,F1,2
70.0,MEIDEN,115/22,50,16,2023,4266,50274,735.0,82.0,21.0,52,20.0,8.0,201.0,10.0,170.0,544.0,55,15,8,2.4761904761904763,2.5,0.38461538461538464,10.05,0.03980099502487562,80.0,F1,Uncertain,Uncertain,PD,T3,F1,2
70.0,MEIDEN,115/22,50,16,2024,14486,31341,593.0,46.0,16.0,7,20.0,1.0,16.0,1.0,9.0,96.0,54,10,9,0.4375,20.0,2.857142857142857,0.8,0.0625,28.0,F1,Uncertain,Uncertain,PD,PD,PD,3
71.0,MEIDEN,115/22,50,16,2024,5295,49805,749.0,86.0,4.0,19,20.0,2.0,39.0,13.0,31.0,194.0,58,13,9,4.75,10.0,1.0526315789473684,1.95,0.05128205128205128,41.0,F1,Uncertain,Uncertain,PD,T3,F1,2
71.0,MEIDEN,115/22,50,16,2023,5786,55441,1208.0,139.0,17.0,62,20.0,9.0,223.0,1.0,187.0,638.0,55,13,8,3.6470588235294117,2.2222222222222223,0.3225806451612903,11.15,0.04035874439461883,91.0,F1,Uncertain,Uncertain,T1,T3,F1,2
71.0,MEIDEN,115/22,50,16,2022,5058,57952,1329.0,153.0,22.0,82,20.0,6.0,294.0,25.0,187.0,744.0,55,6,7,3.727272727272727,3.3333333333333335,0.24390243902439024,14.7,0.02040816326530612,108.0,F1,Uncertain,Uncertain,T1,T3,F1,2
71.0,MEIDEN,115/22,50,16,2020,9704,46177,1201.0,102.0,19.0,53,20.0,4.0,225.0,25.0,37.0,403.0,65,12,5,2.789473684210526,5.0,0.37735849056603776,11.25,0.017777777777777778,77.0,F1,Uncertain,Uncertain,PD,T3,F1,2
71.0,MEIDEN,115/22,50,16,2019,6500,59990,722.0,76.0,43.0,57,20.0,2.0,226.0,25.0,174.0,578.0,58,11,4,1.3255813953488371,10.0,0.3508771929824561,11.3,0.008849557522123894,79.0,F1,Uncertain,Uncertain,PD,T3,F1,2
71.0,MEIDEN,115/22,50,16,2021,8269,61389,1282.0,125.0,9.0,69,20.0,5.0,274.0,25.0,171.0,653.0,60,8,6,7.666666666666667,4.0,0.2898550724637681,13.7,0.01824817518248175,94.0,F1,Uncertain,Uncertain,T1,T3,F1,2
72.0,MEIDEN,115/22,50,12,2023,5561,27529,4045.0,242.0,76.0,28,20.0,35.0,20.0,25.0,11.0,377.0,55,10,8,0.3684210526315789,0.5714285714285714,0.7142857142857143,1.0,1.75,83.0,Uncertain,Uncertain,Uncertain,D1,T3,D1,0
72.0,MEIDEN,115/22,50,12,2018,6891,23055,378.0,33.0,8.0,1,20.0,35.0,55.0,25.0,37.0,42.0,32,13,3,0.125,0.5714285714285714,20.0,2.75,0.6363636363636364,56.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
72.0,MEIDEN,115/22,50,12,2019,9616,33112,478.0,74.0,9.0,60,20.0,1.0,2.0,25.0,6.0,92.0,58,21,4,6.666666666666667,20.0,0.3333333333333333,0.1,0.5,81.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
72.0,MEIDEN,115/22,50,12,2020,10701,23600,1589.0,107.0,26.0,60,20.0,35.0,55.0,25.0,37.0,133.0,54,19,5,2.3076923076923075,0.5714285714285714,0.3333333333333333,2.75,0.6363636363636364,115.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
72.0,MEIDEN,115/22,50,12,2021,6215,33374,2788.0,107.0,53.0,22,20.0,35.0,5.0,25.0,3.0,190.0,56,14,6,0.41509433962264153,0.5714285714285714,0.9090909090909091,0.25,7.0,77.0,Uncertain,Uncertain,D2,D1,Uncertain,D2,1
72.0,MEIDEN,115/22,50,12,2022,9287,24739,3280.0,159.0,37.0,60,20.0,35.0,14.0,25.0,37.0,210.0,49,11,7,1.6216216216216217,0.5714285714285714,0.3333333333333333,0.7,2.5,115.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
72.0,MEIDEN,115/22,50,12,2024,3711,19584,4425.0,243.0,52.0,28,20.0,35.0,55.0,25.0,37.0,323.0,64,22,9,0.5384615384615384,0.5714285714285714,0.7142857142857143,2.75,0.6363636363636364,83.0,F1,Uncertain,Uncertain,D1,Uncertain,F1,2
73.0,ABB,115/22,50,17,2023,6265,40387,3702.0,265.0,26.0,22,20.0,35.0,7.0,25.0,37.0,320.0,45,16,8,0.8461538461538461,0.5714285714285714,0.9090909090909091,0.35,5.0,77.0,Uncertain,Uncertain,D2,D1,Uncertain,D2,1
73.0,ABB,115/22,50,17,2022,9050,47590,2762.0,119.0,13.0,16,20.0,35.0,4.0,2.0,3.0,157.0,38,6,7,1.2307692307692308,0.5714285714285714,1.25,0.2,8.75,71.0,Uncertain,Uncertain,Uncertain,D1,Uncertain,D1,0
73.0,ABB,115/22,50,17,2024,5299,33977,3507.0,284.0,18.0,13,20.0,35.0,55.0,25.0,37.0,315.0,50,12,9,0.7222222222222222,0.5714285714285714,1.5384615384615385,2.75,0.6363636363636364,68.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
73.0,ABB,115/22,50,17,2020,7943,35506,3197.0,209.0,29.0,13,20.0,35.0,5.0,25.0,37.0,256.0,45,13,5,0.4482758620689655,0.5714285714285714,1.5384615384615385,0.25,7.0,68.0,Uncertain,Uncertain,D2,Uncertain,Uncertain,D2,1
73.0,ABB,115/22,50,17,2019,3578,34962,3313.0,246.0,18.0,15,20.0,35.0,52.0,25.0,37.0,331.0,53,15,4,0.8333333333333334,0.5714285714285714,1.3333333333333333,2.6,0.6730769230769231,70.0,F1,Uncertain,Uncertain,D1,Uncertain,F1,2
73.0,ABB,115/22,50,17,2021,3586,50412,4120.0,160.0,34.0,30,20.0,35.0,5.0,25.0,2.0,231.0,52,8,6,0.8823529411764706,0.5714285714285714,0.6666666666666666,0.25,7.0,85.0,Uncertain,Uncertain,D2,D1,Uncertain,D2,1
74.0,TOSHIBA,115/22,50,21,2022,28470,42300,2415.0,35.0,44.0,124,20.0,4.0,489.0,53.0,493.0,1242.0,53,28,7,2.8181818181818183,5.0,0.16129032258064516,24.45,0.0081799591002045,148.0,F1,Uncertain,Uncertain,T1,T3,F1,2
74.0,TOSHIBA,115/22,50,21,2023,6066,60048,6287.0,170.0,77.0,107,20.0,13.0,788.0,25.0,494.0,1649.0,57,22,8,1.3896103896103895,1.5384615384615385,0.18691588785046728,39.4,0.01649746192893401,140.0,F1,Uncertain,Uncertain,T1,Uncertain,F1,2
74.0,TOSHIBA,115/22,50,21,2021,7397,41798,5732.0,118.0,64.0,196,20.0,8.0,596.0,25.0,302.0,1284.0,53,24,6,3.0625,2.5,0.10204081632653061,29.8,0.013422818791946308,224.0,F1,Uncertain,Uncertain,T1,T3,F1,2
74.0,TOSHIBA,115/22,50,21,2024,7396,45012,5292.0,144.0,33.0,67,20.0,1.0,243.0,13.0,318.0,819.0,54,19,9,2.0303030303030303,20.0,0.29850746268656714,12.15,0.00411522633744856,88.0,F1,Uncertain,Uncertain,T1,T3,F1,2
75.0,MEIDEN,115/22,50,20,2021,15850,60172,1706.0,150.0,34.0,158,20.0,8.0,349.0,6.0,176.0,881.0,48,24,6,4.647058823529412,2.5,0.12658227848101267,17.45,0.022922636103151862,186.0,F1,Uncertain,Uncertain,T1,T3,F1,2
75.0,MEIDEN,115/22,50,20,2024,7816,24880,1730.0,138.0,21.0,33,20.0,35.0,96.0,25.0,66.0,354.0,56,12,9,1.5714285714285714,0.5714285714285714,0.6060606060606061,4.8,0.3645833333333333,88.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
75.0,MEIDEN,115/22,50,20,2023,6537,39389,1606.0,135.0,15.0,22,20.0,35.0,57.0,2.0,60.0,291.0,59,10,8,1.4666666666666666,0.5714285714285714,0.9090909090909091,2.85,0.6140350877192983,77.0,F1,Uncertain,Uncertain,D1,Uncertain,F1,2
75.0,MEIDEN,115/22,50,20,2020,8321,44210,1944.0,140.0,41.0,121,20.0,8.0,263.0,25.0,133.0,706.0,51,10,5,2.951219512195122,2.5,0.1652892561983471,13.15,0.030418250950570342,149.0,F1,Uncertain,Uncertain,T1,T3,F1,2
75.0,MEIDEN,115/22,50,20,2022,5910,54550,2046.0,171.0,44.0,131,20.0,8.0,378.0,25.0,168.0,900.0,60,10,7,2.977272727272727,2.5,0.15267175572519084,18.9,0.021164021164021163,159.0,F1,Uncertain,Uncertain,T1,T3,F1,2
77.0,MEIDEN,115/22,50,20,2019,13023,50018,2368.0,133.0,15.0,68,20.0,35.0,222.0,25.0,110.0,548.0,59,25,4,4.533333333333333,0.5714285714285714,0.29411764705882354,11.1,0.15765765765765766,123.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
77.0,MEIDEN,115/22,50,20,2020,13879,47126,2252.0,103.0,10.0,65,20.0,35.0,235.0,25.0,73.0,486.0,53,20,5,6.5,0.5714285714285714,0.3076923076923077,11.75,0.14893617021276595,120.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
77.0,MEIDEN,115/22,50,20,2021,7334,65081,2931.0,141.0,16.0,94,20.0,2.0,282.0,25.0,139.0,674.0,36,11,6,5.875,10.0,0.2127659574468085,14.1,0.0070921985815602835,116.0,F1,Uncertain,Uncertain,T1,T3,F1,2
77.0,MEIDEN,115/22,50,20,2022,12545,58541,2317.0,131.0,11.0,71,20.0,35.0,281.0,25.0,56.0,550.0,56,16,7,6.454545454545454,0.5714285714285714,0.28169014084507044,14.05,0.12455516014234876,126.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
