Tr.,MFG,KV,MVA,Age,Year Test,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,year_num,R1,R2,R3,R4,R5,Duval_Total,IRM_fault,DRM_fault,RRM_fault,DTM_fault,DPM_fault,fault_majority_vote,faults_index
37.0,MITSUBISHI,115/22,50,26,2023,4806,42220,4180.0,121.0,92.0,116,20.0,11.0,397.0,25.0,110.0,847.0,65,20,8,1.2608695652173914,1.8181818181818181,0.1724137931034483,19.85,0.027707808564231738,147.0,F1,Uncertain,Uncertain,T1,T3,F1,2
37.0,MITSUBISHI,115/22,50,26,2024,10152,59688,4371.0,138.0,48.0,134,20.0,20.0,584.0,12.0,248.0,1184.0,62,17,9,2.7916666666666665,1.0,0.14925373134328357,29.2,0.03424657534246575,174.0,F1,Uncertain,Uncertain,T1,T3,F1,2
38.0,RADE KONCAR,115/22,50,19,2019,4691,50982,4730.0,547.0,24.0,28,20.0,7.0,13.0,25.0,37.0,619.0,37,12,4,1.1666666666666667,2.857142857142857,0.7142857142857143,0.65,0.5384615384615384,55.0,F1,Uncertain,Uncertain,PD,PD,PD,3
38.0,RADE KONCAR,115/22,50,19,2020,10210,49512,3784.0,412.0,31.0,62,20.0,15.0,16.0,26.0,6.0,568.0,39,15,5,2.0,1.3333333333333333,0.3225806451612903,0.8,0.9375,97.0,F1,Uncertain,Uncertain,T1,T3,F1,2
38.0,RADE KONCAR,115/22,50,19,2021,6192,50424,6010.0,530.0,30.0,20,20.0,8.0,12.0,25.0,4.0,604.0,36,8,6,0.6666666666666666,2.5,1.0,0.6,0.6666666666666666,48.0,F1,Uncertain,Uncertain,PD,PD,PD,3
38.0,RADE KONCAR,115/22,50,19,2022,4931,48976,4580.0,664.0,21.0,60,20.0,29.0,27.0,25.0,37.0,741.0,38,15,7,2.857142857142857,0.6896551724137931,0.3333333333333333,1.35,1.0740740740740742,109.0,Uncertain,Uncertain,Uncertain,Uncertain,T3,T3,6
38.0,RADE KONCAR,115/22,50,19,2023,7018,65424,5665.0,762.0,42.0,48,20.0,33.0,23.0,31.0,8.0,947.0,60,10,8,1.1428571428571428,0.6060606060606061,0.4166666666666667,1.15,1.434782608695652,101.0,Uncertain,Uncertain,Uncertain,Uncertain,T3,T3,6
38.0,RADE KONCAR,115/22,50,19,2024,7316,44416,5583.0,843.0,18.0,37,20.0,34.0,55.0,16.0,37.0,948.0,60,6,9,2.0555555555555554,0.5882352941176471,0.5405405405405406,2.75,0.6181818181818182,91.0,F1,Uncertain,Uncertain,Uncertain,T3,F1,2
39.0,EKARAT-DAIHEN,115/22,50,13,2023,8668,62645,2800.0,1027.0,48.0,8,20.0,8.0,2.0,7.0,4.0,1104.0,52,9,8,0.16666666666666666,2.5,2.5,0.1,4.0,36.0,D1,Uncertain,D2,PD,PD,PD,3
39.0,EKARAT-DAIHEN,115/22,50,13,2022,7936,49319,2492.0,916.0,26.0,60,20.0,6.0,55.0,25.0,37.0,948.0,52,12,7,2.3076923076923075,3.3333333333333335,0.3333333333333333,2.75,0.10909090909090909,86.0,F1,Uncertain,Uncertain,PD,T3,F1,2
39.0,EKARAT-DAIHEN,115/22,50,13,2024,14488,66086,3344.0,1154.0,21.0,64,20.0,18.0,71.0,7.0,5.0,1340.0,53,7,9,3.0476190476190474,1.1111111111111112,0.3125,3.55,0.2535211267605634,102.0,F1,Uncertain,Uncertain,T1,T3,F1,2
39.0,EKARAT-DAIHEN,115/22,50,13,2020,9454,41201,1096.0,680.0,42.0,4,20.0,35.0,2.0,25.0,3.0,731.0,54,10,5,0.09523809523809523,0.5714285714285714,5.0,0.1,17.5,59.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
