LOC,NAME,CODETX,SER,KV,MVA,YEAR_Energized,Sample Day,Tested Day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TEMP,NB
CYP,KT2AC,CYPKT2AC,A1Z69040T1-2,230/121/22,120/160/200,2007.0,2022-11-24,2022-12-03,7043,52741,565,180.0,14512,1869.0,13442,2150,165.0,491.0,12.0,49.0,
CYP,KT4AA,CYPKT4AA,98900017,230/121/22,120/160/200,2012.0,2023-12-23,2024-01-08,22617,51585,270,26.0,13,0.0,17,5,0.0,1.0,0.0,0.0,
CYP,KT4AA,CYPKT4AA,98900017,230/121/22,120/160/200,2012.0,2024-03-04,2024-04-07,6607,37248,583,118.0,847,121.0,1183,205,21.0,32.0,4.0,53.0,
CYP,KT4AA,CYPKT4AA,98900017,230/121/22,120/160/200,2012.0,2022-11-24,2022-12-08,5642,60157,521,223.0,12356,1642.0,10127,2638,300.0,440.0,11.0,46.5,
CYP,KT4AA,CYPKT4AA,98900017,230/121/22,120/160/200,2012.0,2023-12-23,2023-12-25,16102,30229,142,2.0,17,1.0,18,3,0.0,1.0,0.0,,
CYP,KT4AB,CYPKT4AB,98900017,230/121/22,120/160/200,2012.0,2023-12-23,2023-12-25,23743,47863,197,5.0,16,0.0,18,3,0.0,0.0,0.0,,
CYP,KT4AB,CYPKT4AB,98900017,230/121/22,120/160/200,2012.0,2022-11-24,2022-12-08,4965,57324,722,250.0,18345,2288.0,12829,4056,551.0,466.0,11.0,46.5,
CYP,KT4AB,CYPKT4AB,98900017,230/121/22,120/160/200,2012.0,2024-03-04,2024-04-07,3924,18537,423,69.0,1402,175.0,1589,220,19.0,56.0,3.0,53.0,
CYP,KT4AB,CYPKT4AB,98900017,230/121/22,120/160/200,2012.0,2023-12-23,2024-01-08,30570,74942,338,36.0,12,1.0,15,5,0.0,2.0,0.0,0.0,
CYP,KT4AC,CYPKT4AC,98900017,230/121/22,120/160/200,2012.0,2023-12-23,2024-01-08,29121,65882,367,28.0,16,1.0,19,5,0.0,1.0,0.0,0.0,
CYP,KT4AC,CYPKT4AC,98900017,230/121/22,120/160/200,2012.0,2023-12-23,2023-12-25,24851,47904,196,2.0,4,1.0,16,3,0.0,1.0,0.0,,
CYP,KT4AC,CYPKT4AC,98900017,230/121/22,120/160/200,2012.0,2024-03-04,2024-04-06,4718,29105,469,86.0,1754,204.0,1733,245,20.0,142.0,5.0,53.0,
CYP,KT4AC,CYPKT4AC,98900017,230/121/22,120/160/200,2012.0,2022-11-24,2022-12-08,4628,59063,615,246.0,17568,2218.0,12493,3694,440.0,474.0,13.0,46.5,
HH,KT3AA,HHKT3AA,A1E69002T1,230/115/22,200,,2023-11-12,2024-01-25,6030,50190,1002,190.0,9736,1716.0,13487,3127,484.0,522.0,73.0,48.0,
HH,KT3AB,HHKT3AB,A1E69002T1,230/115/22,200,,2023-11-12,2024-01-22,11040,42790,846,134.0,5591,1292.0,11016,2556,365.0,455.0,54.0,48.0,
HH,KT3AC,HHKT3AC,A1E69002T1,230/115/22,200,,2023-11-12,2024-01-25,8370,50010,989,189.0,10616,1721.0,13872,2905,412.0,456.0,56.0,48.0,
HY2,KT2A,HY2KT2A,T943016,115/33,50,2008.0,2020-07-04,2020-08-11,2495,151980,1032,50.0,144,284.0,4476,1063,77.0,280.0,17.0,53.0,
HY2,KT3A,HY2KT3A,94169,230/115/33,200,,2023-10-13,2023-11-30,9473,27789,583,165.0,83,15.0,11,10,6.0,3.0,4.0,58.0,
HY2,KT4A,HY2KT4A,94170,230/121/33,200,2002.0,2023-10-13,2023-11-30,3876,39842,297,82.0,20,8.0,18,2,2.0,1.0,13.0,62.0,
HY2,KT5AA,HY2KT5AA,5BK013801,230/115/33,200,2011.0,2023-10-13,2023-11-30,9436,49384,1710,172.0,925,162.0,908,491,54.0,281.0,13.0,69.0,
HY2,KT5AB,HY2KT5AB,5BK013801,230/115/33,200,2011.0,2023-10-13,2023-11-30,7701,49692,300,119.0,942,238.0,1197,612,62.0,304.0,14.0,69.0,
HY2,KT5AC,HY2KT5AC,5BK013801,230/115/33,200,2011.0,2023-10-13,2023-11-30,10562,51554,425,191.0,1822,303.0,1431,781,75.0,335.0,18.0,69.0,
KA,KT1A,KAKT1A,60538-002,115/33,25,1993.0,2023-10-07,2023-11-20,39250,46590,1927,122.0,1344,597.0,2451,1560,161.0,380.0,12.0,30.0,
KA,KT3AA,KAKT3AA,9816102102,230/121/33,,,2023-10-07,2023-11-19,47400,46470,2094,58.0,7,7.0,156,26,2.0,14.0,1.0,40.0,
KA,KT3AB,KAKT3AB,9816102102,230/121/33,,,2023-10-07,2023-11-20,44640,48270,2470,107.0,89,12.0,215,38,2.0,16.0,1.0,40.0,
KA,KT3AC,KAKT3AC,9816102102,230/121/33,,,2023-10-07,2023-11-20,36040,49740,3375,224.0,206,21.0,321,58,3.0,18.0,1.0,40.0,
KA,KT4AA,KAKT4AA,9816102101,230/121/33,,,2023-10-07,2023-11-20,51920,46890,1865,43.0,3,9.0,165,34,2.0,14.0,1.0,40.0,
KA,KT4AB,KAKT4AB,9816102101,230/121/33,,,2023-10-07,2023-11-20,48460,49560,2595,103.0,108,16.0,235,49,2.0,11.0,1.0,40.0,
KA,KT4AC,KAKT4AC,9816102101,230/121/33,,,2023-10-07,2023-11-19,37910,48510,3116,175.0,207,19.0,275,49,2.0,9.0,1.0,40.0,
KB1,KT1A,KB1KT1A,5F9902T2,115/22,50,1993.0,2023-10-27,2023-12-08,4381,48982,2150,236.0,2629,2284.0,3210,12931,3119.0,27897.0,1734.0,54.0,
KB1,KT2A,KB1KT2A,8R8405T1,115/22,50,2007.0,2023-10-27,2023-12-08,5916,51586,2295,352.0,380,75.0,1735,255,14.0,242.0,8.0,,
KB1,KT3A,KB1KT3A,556261,115/22,50,1985.0,2023-10-27,2023-12-08,5023,46492,1979,200.0,442,409.0,8254,1654,104.0,1083.0,23.0,46.0,
KB2,KT1AA,KB2KT1AA,92198,230/115/22,200,1995.0,2020-09-06,2020-09-11,35785,60923,411,0.0,7,0.0,0,0,0.0,0.0,0.0,,
KB2,KT1AA,KB2KT1AA,92198,230/115/22,200,1995.0,2023-10-09,2023-01-15,38280,57490,269,289.0,1880,485.0,3605,2084,69.0,333.0,8.0,70.0,
KB2,KT1AB,KB2KT1AB,92198,230/115/22,200,1995.0,2023-10-08,2023-01-15,36020,52620,297,207.0,1148,331.0,3434,1458,54.0,251.0,8.0,70.0,
KB2,KT1AB,KB2KT1AB,92198,230/115/22,200,1995.0,2020-09-06,2020-09-11,32196,58939,413,9.0,8,0.0,0,0,0.0,0.0,0.0,,
KB2,KT1AC,KB2KT1AC,92198,230/115/22,200,1995.0,2020-09-06,2020-09-11,33089,60980,385,11.0,7,0.0,0,0,0.0,0.0,0.0,,
KB2,KT1AC,KB2KT1AC,92198,230/115/22,200,1995.0,2023-10-08,2023-01-15,40270,49300,386,141.0,568,203.0,2367,912,38.0,212.0,6.0,70.0,
KK1,KT1A,KK1KT1A,8P9097T1,115/22/11,50,,2022-11-19,2022-12-03,11015,57542,995,193.0,7227,1713.0,15239,3243,307.0,1263.0,40.0,52.0,
KK2,KT1A,KK2KT1A,8T9796T1,115/22,50,,2022-10-06,2022-10-17,31431,87814,1014,78.0,1152,208.0,11069,838,42.0,501.0,17.0,60.0,
KK2,KT1A,KK2KT1A,8T9796T1,115/22,50,,2022-11-18,2022-12-08,28163,75826,632,84.0,318,148.0,4936,648,36.0,339.0,11.0,54.0,
KK2,KT2A,KK2KT2A,8T9796T2,115/22,50,,2022-11-18,2022-12-01,25136,74512,615,115.0,147,88.0,1864,208,10.0,274.0,5.0,50.0,
KL,KT1A,KLKT1A,EDP011908,115/22/11,50,2013.0,2020-04-19,2020-05-24,21444,54692,138,84.0,5584,1003.0,458,451,49.0,81.0,0.0,52.0,
KL,KT2A,KLKT2A,EDP011907,115/22/11,50,,2020-04-19,2020-05-25,10396,45868,105,126.0,11032,2636.0,2208,2440,220.0,440.0,0.0,53.0,
KLM,KT1AA,KLMKT1AA,N 407924,230/115/22,200,2007.0,2023-09-28,2023-10-01,29390,43740,376,219.0,7564,1907.0,6817,6381,1121.0,1422.0,29.0,,
KLM,KT1AA,KLMKT1AA,N 407924,230/115/22,200,2007.0,2023-03-04,2023-03-12,1370,60280,716,285.0,10346,2274.0,1732,6303,1050.0,1974.0,0.0,40.0,
KLM,KT1AB,KLMKT1AB,N 407924,230/115/22,200,2007.0,2023-09-28,2023-09-30,12020,44000,447,202.0,5149,3373.0,9583,1448,1967.0,1939.0,36.0,,
KLM,KT1AB,KLMKT1AB,N 407924,230/115/22,200,2007.0,2023-03-04,2023-03-12,7160,51770,865,297.0,15445,3265.0,5388,10135,1769.0,2662.0,61.0,40.0,
KLM,KT1AC,KLMKT1AC,N 407924,230/115/22,200,2007.0,2023-03-04,2023-03-12,7080,41350,711,163.0,19742,5363.0,9172,28216,5048.0,3560.0,100.0,40.0,
KLM,KT1AC,KLMKT1AC,N 407924,230/115/22,200,2007.0,2023-09-28,2023-10-01,11590,28560,442,109.0,5784,5246.0,5638,30895,5393.0,2628.0,73.0,,
KLM,KT2AA,KLMKT2AA,N 407926,230/115/22,200,,2023-09-28,2023-10-02,29360,50250,675,205.0,9170,2394.0,5375,11192,2250.0,1796.0,53.0,,
KLM,KT2AB,KLMKT2AB,N 407926,230/115/22,200,,2023-09-28,2023-10-01,12530,43360,526,179.0,9720,3435.0,6899,6589,3207.0,2194.0,58.0,,
KLM,KT2AC,KLMKT2AC,N 407926,230/115/22,200,,2023-09-28,2023-10-02,7440,34510,550,99.0,7619,6361.0,4086,42076,7344.0,3043.0,109.0,,
KLM,KT3AA,KLMKT3AA,N 407928,230/115/22,200,,2023-09-28,2023-10-01,30330,49330,539,225.0,9523,2355.0,6985,8790,1738.0,1864.0,43.0,,
KLM,KT3AB,KLMKT3AB,N 407928,230/115/22,200,,2023-09-28,2023-10-02,7310,46170,584,203.0,5558,3710.0,20421,14445,2780.0,2520.0,50.0,,
KLM,KT3AC,KLMKT3AC,N 407928,230/115/22,200,,2023-09-28,2023-10-02,7690,32100,412,79.0,7921,5844.0,6042,34813,6490.0,3197.0,93.0,,
KN,KT2A,KNKT2A,5BK010701,230/121/33,25,1999.0,2023-12-09,2024-01-27,30031,52286,1645,231.0,364,57.0,492,77,6.0,53.0,4.0,48.0,
KN,KT3A,KNKT3A,8T9791T1,115/33,50,2012.0,2023-04-27,2023-05-19,26471,59732,1259,39.0,5,14.0,568,80,3.0,32.0,2.0,38.0,
KNG,KT2A,KNGKT2A,AG69095T412,115/22/11,15,,2024-02-26,2024-04-05,16608,40673,5053,613.0,15151,5371.0,36244,12444,1248.0,4457.0,186.0,61.0,
KS,KT2A,KSKT2A,EDP011306,115/22,50,2012.0,2022-03-19,2022-03-19,2768,27337,3707,933.0,33971,26250.0,19924,31197,6189.0,13275.0,5334.0,49.0,
KS,KT2A,KSKT2A,EDP011306,115/22,50,2012.0,2022-04-04,2022-04-08,29722,69054,661,265.0,3899,542.0,4877,1024,172.0,774.0,43.0,52.0,
KTL,KT1A,KTLKT1A,60539-003,115/22,25,1993.0,2022-11-22,2022-12-08,6874,39542,161,44.0,5148,9494.0,1425,72715,29324.0,5762.0,269.0,44.0,
KTL,KT1A,KTLKT1A,60539-003,115/22,25,1993.0,2023-12-11,2023-12-14,43929,74132,747,24.0,67,83.0,238,1334,266.0,113.0,0.0,34.0,
KTL,KT1A,KTLKT1A,60539-003,115/22,25,1993.0,2024-02-17,2024-03-03,7128,24929,1746,627.0,16162,4149.0,401,18057,3701.0,1307.0,293.0,51.0,
KTL,KT2A,KTLKT2A,AG69095T431,115/22/11,25,1998.0,2022-11-22,2022-12-04,7015,54003,670,86.0,16143,7024.0,3975,60386,10073.0,5311.0,206.0,46.0,
LB2,KT2A,LB2KT2A,8144902,115/22,25,,2019-05-24,2019-06-22,11878,49577,3147,97.0,3302,353.0,2700,300,20.0,76.0,0.0,48.0,
LB2,KT2A,LB2KT2A,8144902,115/22,25,,2019-02-25,2019-03-08,7512,17960,1358,118.0,949,158.0,921,103,5.0,0.0,0.0,44.0,
LE,KT1A,LEKT1A,338028,115/22,50,,2021-05-07,2021-05-08,7297,22637,198,0.0,9,0.0,0,0,0.0,0.0,0.0,42.0,
LE,KT1A,LEKT1A,338028,115/22,50,,2024-01-13,2024-02-03,14830,23570,1267,96.0,17239,13666.0,5116,116160,19512.0,13575.0,530.0,49.0,
LE,KT1A,LEKT1A,338028,115/22,50,,2021-05-07,2021-05-08,8150,14748,85,0.0,14,0.0,0,0,0.0,0.0,0.0,42.0,
LE,KT2A,LEKT2A,60542-002,115/22/11,25,,2024-01-13,2024-02-03,4610,48150,500,10.0,33,241.0,7,4091,6142.0,2818.0,139.0,47.0,
LN1,KT1A,LN1KT1A,8T9668T4,115/22,50,2011.0,2024-02-02,2024-05-27,21521,45454,1650,160.0,204,90.0,3018,281,15.0,108.0,0.0,,
LN1,KT1A,LN1KT1A,8T9668T4,115/22,50,2011.0,2021-04-12,2021-10-21,41065,65705,902,4.0,75,27.0,1422,161,15.0,0.0,0.0,,
LN2,KT1A,LN2KT1A,8R8397T1,115/22,50,,2021-04-12,2021-10-21,39892,67432,1012,0.0,78,36.0,1061,135,8.0,22.0,0.0,,
LN2,KT2A,LN2KT2A,8R8397T2,115/22,50,,2021-04-11,2021-10-22,34923,60382,1489,0.0,96,54.0,1352,221,14.0,177.0,0.0,,
LP2,KT3A,LP2KT3A,1G9579T1,115/22,25,1995.0,2023-04-28,2023-05-04,5974,4108,1520,109.0,945,43.0,1,122,16.0,61.0,8.0,40.0,
LPR,KT1AA,LPRKT1AA,7412507701,230/69/11,200,1988.0,2023-11-19,2024-01-04,13204,35193,2455,417.0,15743,3306.0,27094,5204,388.0,4956.0,122.0,46.0,
LPR,KT1AB,LPRKT1AB,7412507701,230/69/11,200,1988.0,2023-11-19,2024-01-04,24335,36182,1694,306.0,8697,2044.0,17752,3861,354.0,6253.0,129.0,46.0,
LPR,KT1AC,LPRKT1AC,7412507701,230/69/11,230/69/11,1988.0,2023-11-19,2023-12-08,14508,42816,2826,369.0,403,525.0,5583,2547,357.0,2357.0,67.0,46.0,
LPR,KT2AA,LPRKT2AA,S251401,230/69/11,200,1994.0,2023-11-19,2024-01-04,10965,29947,1251,164.0,14010,6026.0,27361,16278,2706.0,6276.0,126.0,60.0,
LPR,KT2AB,LPRKT2AB,S251401,230/69/11,200,1994.0,2023-11-19,2024-01-04,11285,30487,1540,131.0,20499,8880.0,21386,31675,5175.0,3231.0,141.0,60.0,
LPR,KT2AC,LPRKT2AC,S251401,230/69/11,200,,2023-11-19,2023-12-08,14063,38276,2214,285.0,673,2150.0,6167,5060,3252.0,2483.0,67.0,60.0,
LPR,KT3AA,LPRKT3AA,91900007,220/69/22,200,2005.0,2023-11-19,2024-01-04,7486,20663,1448,221.0,26505,17392.0,17409,125193,24558.0,15575.0,538.0,55.0,
LPR,KT3AB,LPRKT3AB,91900007,220/69/22,200,2005.0,2023-11-19,2023-12-08,12214,32957,2003,267.0,4637,6471.0,8293,55520,13291.0,8245.0,252.0,55.0,
LPR,KT3AB,LPRKT3AB,91900007,220/69/22,200,2005.0,2024-03-06,2024-03-07,7612,29431,0,0.0,34475,27138.0,13652,140592,35954.0,547.0,10931.0,50.0,
LPR,KT3AC,LPRKT3AC,91900007,220/69/22,200,2005.0,2024-03-06,2024-03-07,8000,18066,0,0.0,42748,24021.0,18460,153656,37078.0,604.0,11628.0,50.0,
LPR,KT3AC,LPRKT3AC,91900007,220/69/22,200,2005.0,2023-11-19,2024-01-04,7783,16274,1083,159.0,25032,18271.0,22562,130893,28381.0,15362.0,578.0,55.0,
LPR,KT4AA,LPRKT4AA,8946787,230/69,200,2003.0,2023-11-19,2024-01-04,11526,29254,1646,228.0,19188,7045.0,43823,17049,3250.0,4195.0,130.0,51.0,
LPR,KT4AB,LPRKT4AB,8946787,230/69,200,2003.0,2023-11-19,2024-01-04,9514,23217,1461,213.0,23115,10325.0,46116,31569,6875.0,8573.0,150.0,51.0,
LPR,KT4AC,LPRKT4AC,8946787,230/69,200,2003.0,2023-11-19,2024-01-04,6278,26342,1750,263.0,23911,9497.0,45603,27575,5652.0,4817.0,145.0,51.0,
LR,KT1A,LRKT1A,60548002,115/33/11,32,1994.0,2023-10-01,2023-11-21,34210,47930,3286,197.0,2347,721.0,1305,2510,235.0,436.0,15.0,60.0,
LR,KT2A,LRKT2A,5A1594001,115/33,25,1992.0,2021-03-28,2021-04-17,27949,56500,353,41.0,249,95.0,141,113,50.0,0.0,0.0,,
LR,KT3A,LRKT3A,566415,115/33,25,1991.0,2023-10-02,2023-11-21,59420,49140,3925,70.0,757,141.0,1613,193,11.0,55.0,2.0,52.0,
LS,KT2A,LSKT2A,574418,115/22,25,,2023-08-18,2023-08-28,23958,76089,1587,178.0,647,235.0,6490,1330,109.0,913.0,15.0,56.0,
LSN,KT1A,LSNKT1A,57024,115/22,50,2011.0,2023-04-29,2023-05-19,25882,56875,1184,55.0,5,6.0,83,15,1.0,19.0,0.0,45.0,
MD2,KT1A,MD2KT1A,60541-001,115/22,25,1993.0,2024-02-01,2024-03-02,26118,58410,647,14.0,275,110.0,737,509,67.0,72.0,2.0,50.0,
MK,KT1A,MKKT1A,52011,115/22,50,2007.0,2020-03-07,2020-03-29,26185,51293,188,15.0,462,33.0,349,30,0.0,0.0,0.0,59.0,
MK,KT2A,MKKT2A,56039,115/22,50,2011.0,2020-06-05,2020-06-26,34762,58678,671,63.0,619,210.0,4705,734,155.0,331.0,0.0,49.0,
MK,KT2A,MKKT2A,56039,115/22,50,2011.0,2020-03-07,2020-03-27,8567,62281,69,30.0,8888,2269.0,207,887,299.0,0.0,29.0,50.0,
MK,KT2A,MKKT2A,56039,115/22,50,2011.0,2022-11-19,2022-12-03,30602,73385,306,92.0,314,138.0,4037,370,22.0,367.0,11.0,40.0,
MM3,KT5A,MM3KT5A,9711290103,230/115,200,,2023-09-10,2023-10-08,11930,37890,809,69.0,66,38.0,10,17,20.0,248.0,16.0,68.0,
MM3,KT7A,MM3KT7A,AIZ69040T3,230/121/22,200,,2023-09-10,2023-10-08,1640,52750,829,37.0,53,72.0,45,147,257.0,217.0,227.0,60.0,
MM3,KT7A,MM3KT7A,AIZ69040T3,230/121/22,200,,2023-03-23,2023-03-31,3336,44824,3884,308.0,22392,4390.0,15420,15073,2455.0,2118.0,60.0,54.0,
MM3,KT9AA,MM3KT9AA,03900061,525,333.3,2018.0,2023-09-10,2023-10-08,23700,21150,145,51.0,15,109.0,14,113,56.0,87.0,18.0,58.0,
MTG,KT1A,MTGKT1A,AN690003T3-2,115/22,25,1998.0,2021-04-12,2021-10-22,28150,59604,462,0.0,0,0.0,0,0,0.0,0.0,0.0,,
NB,KT1AA,NBKT1AA,AX69026T4,230/69/11,200,1982.0,2024-06-21,2024-06-23,9590,30570,1995,173.0,18389,9051.0,8369,38007,4412.0,3759.0,162.0,56.0,
NB,KT1AA,NBKT1AA,AX69026T4,230/69/11,200,1982.0,2023-11-20,2024-01-05,6100,37950,3016,344.0,28213,4665.0,12774,14254,1453.0,1558.0,87.0,54.0,
NB,KT1AB,NBKT1AB,AX69026T4,230/69/11,200,1982.0,2023-11-20,2024-01-06,8770,39190,2723,325.0,26591,4558.0,11293,13019,1221.0,1631.0,82.0,54.0,
NB,KT1AB,NBKT1AB,AX69026T4,230/69/11,200,1982.0,2024-06-21,2024-06-24,14780,33820,2202,289.0,11583,8549.0,7647,35273,3775.0,3949.0,161.0,56.0,
NB,KT1AC,NBKT1AC,AX69026T4,230/69/11,200,1982.0,2023-11-20,2024-01-05,8000,38680,2808,334.0,24199,4297.0,11983,13241,1399.0,2379.0,86.0,54.0,
NB,KT1AC,NBKT1AC,AX69026T4,230/69/11,200,1982.0,2024-06-21,2024-06-23,3320,30460,2539,344.0,25293,10725.0,9771,43464,4853.0,4787.0,177.0,56.0,
NB,KT2AA,NBKT2AA,AX69026T3,230/72.5,200,2000.0,2023-11-20,2024-01-05,7640,30460,3127,263.0,28153,8752.0,11352,36098,4871.0,4108.0,126.0,,
NB,KT2AA,NBKT2AA,AX69026T3,230/72.5,200,2000.0,2024-06-21,2024-06-24,9770,27280,948,143.0,18163,13172.0,5973,62511,8405.0,5785.0,212.0,66.0,
NB,KT2AA,NBKT2AA,AX69026T3,230/72.5,200,2000.0,2023-11-20,2024-01-05,7640,30460,3127,263.0,28153,8752.0,11352,36098,4871.0,4108.0,126.0,58.0,
NB,KT2AB,NBKT2AB,AX69026T3,230/72.5/11,200,2000.0,2024-06-21,2024-06-25,7660,28020,1117,278.0,18042,12318.0,6091,54769,7286.0,8199.0,199.0,66.0,
NB,KT2AB,NBKT2AB,AX69026T3,230/72.5/11,200,2000.0,2023-11-20,2024-01-06,9420,37020,3166,295.0,24346,7213.0,10625,27177,3525.0,4200.0,115.0,58.0,
NB,KT2AC,NBKT2AC,AX69026T3,230/72.5/11,200,2000.0,2023-11-20,2024-01-05,11910,35020,2797,261.0,21677,8080.0,7574,40383,4873.0,3818.0,125.0,58.0,
NB,KT2AC,NBKT2AC,AX69026T3,230/72.5/11,200,2000.0,2024-06-21,2024-06-25,7960,27370,1152,199.0,19524,15163.0,4388,81398,9765.0,8409.0,225.0,66.0,
NB,KT3AA,NBKT3AA,103711,230/72.5,200,2007.0,2023-11-20,2024-01-05,29410,37260,1387,230.0,16267,3235.0,29375,6244,717.0,2163.0,46.0,54.0,
NB,KT3AA,NBKT3AA,103711,230/72.5,200,2007.0,2023-03-19,2023-03-23,24001,47068,1339,219.0,10746,2007.0,16533,2953,250.0,546.0,21.0,53.0,
NB,KT3AA,NBKT3AA,103711,230/72.5,200,2007.0,2024-06-21,2024-06-24,20260,34490,749,430.0,13595,4756.0,30852,9797,1452.0,3304.0,79.0,58.0,
NB,KT3AB,NBKT3AB,103711,230/72.5,200,2007.0,2023-03-19,2023-03-23,14597,37992,1562,290.0,17356,3371.0,25125,4831,451.0,748.0,47.0,53.0,
NB,KT3AB,NBKT3AB,103711,230/72.5,200,2007.0,2024-06-21,2024-06-24,12710,26330,648,364.0,16765,7031.0,43049,13866,2120.0,3502.0,87.0,58.0,
NB,KT3AB,NBKT3AB,103711,230/72.5,200,2007.0,2023-11-20,2024-01-06,13490,29080,1711,282.0,26152,5571.0,44420,10100,1240.0,1652.0,54.0,54.0,
NB,KT3AC,NBKT3AC,103711,230/72.5,200,2007.0,2023-03-19,2023-03-23,18561,38739,1223,162.0,15015,4132.0,24456,10639,1754.0,922.0,147.0,53.0,
NB,KT3AC,NBKT3AC,103711,230/72.5,200,2007.0,2023-11-20,2024-01-06,12500,24080,1313,173.0,24700,7170.0,40282,22059,3754.0,2134.0,69.0,54.0,
NB,KT3AC,NBKT3AC,103711,230/72.5,200,2007.0,2024-06-21,2024-06-24,8180,19390,641,138.0,23309,12381.0,47488,37573,6667.0,4306.0,124.0,58.0,
NB,KT4A,NBKT4A,554711,69/22-11,12,1990.0,2024-06-21,2024-06-23,46720,51630,453,318.0,3,42.0,102,27,3.0,125.0,2.0,53.0,
NB,KT4A,NBKT4A,554711,69/22-11,12,1990.0,2023-11-20,2024-01-05,47620,48440,595,37.0,9,8.0,92,42,7.0,1313.0,1.0,45.0,
NB,KT5A,NBKT5A,554709,69/22,12,1984.0,2023-11-20,2024-01-05,49960,48830,664,68.0,15,13.0,168,81,12.0,2708.0,7.0,,
NB,KT5A,NBKT5A,554709,69/22,12,1984.0,2024-06-21,2024-06-23,44210,52040,508,285.0,16,42.0,109,116,8.0,890.0,1.0,52.0,
NB,KT6AA,NBKT6AA,103712,230/72.5,200,2007.0,2024-06-21,2024-06-23,17650,35170,797,458.0,15238,5796.0,44083,9051,981.0,2267.0,78.0,60.0,
NB,KT6AA,NBKT6AA,103712,230/72.5,200,2007.0,2023-11-20,2024-01-05,34080,41320,1417,179.0,6339,2623.0,28511,4467,343.0,4135.0,43.0,56.0,
NB,KT6AB,NBKT6AB,103712,230/72.5,200,2007.0,2024-06-21,2024-06-23,8990,28300,1208,410.0,24989,9310.0,62205,13767,1532.0,3281.0,103.0,60.0,
NB,KT6AB,NBKT6AB,103712,230/72.5,200,2007.0,2023-11-20,2024-01-05,17630,30320,1765,225.0,15524,5656.0,46849,12821,1799.0,4390.0,66.0,56.0,
NB,KT6AC,NBKT6AC,103712,230/72.5,200,2007.0,2024-06-21,2024-06-23,8560,20640,804,306.0,21524,12231.0,67831,29341,4707.0,3994.0,119.0,60.0,
NB,KT6AC,NBKT6AC,103712,230/72.5,200,2007.0,2023-11-20,2024-01-05,22970,32950,1545,199.0,8748,3639.0,37148,5721,458.0,1512.0,47.0,56.0,
NB,KT7A,NBKT7A,552428,115/69/22,25,,2023-11-20,2024-01-06,43450,53250,848,127.0,626,371.0,8293,1314,82.0,1622.0,29.0,54.0,
NB,KT7A,NBKT7A,552428,115/69/22,25,,2024-06-21,2024-06-23,45730,53350,508,274.0,635,628.0,11642,1936,114.0,1758.0,48.0,58.0,
NBL,KT1A,NBLKT1A,574412,115/22,25,,2023-10-20,2023-12-01,24950,29140,343,258.0,10965,3071.0,31751,5354,252.0,1603.0,22.0,61.0,
NBL,KT1A,NBLKT1A,574412,115/22,25,,2023-06-17,2023-06-26,36338,85943,447,26.0,2,8.0,0,0,4.0,0.0,5.0,27.0,
NBL,KT1A,NBLKT1A,574412,115/22,25,,2023-04-26,2023-04-27,7560,24350,758,1212.0,7575,20936.0,63322,40222,4446.0,40513.0,1625.0,39.0,
NBL,KT2A,NBLKT2A,558036,115/22/11,25,,2020-04-04,2020-05-15,10986,40952,1776,176.0,2170,5352.0,21763,19884,3501.0,3445.0,148.0,66.0,
NBL,KT2A,NBLKT2A,558036,115/22/11,25,,2023-04-23,2023-04-27,8710,66320,1776,178.0,4231,2274.0,5536,3646,260.0,866.0,30.0,52.0,
NBL,KT3A,NBLKT3A,EDP011201,115/22/11,50,2012.0,2020-04-04,2020-05-09,7677,57438,79,26.0,9891,8059.0,922,26686,3057.0,1384.0,144.0,58.0,
NCO,KT1AA,NCOKT1AA,94427,525/242/22,200,2003.0,2023-11-24,2024-01-16,14628,55721,936,314.0,11051,5646.0,6067,5494,826.0,4122.0,164.0,50.0,
NCO,KT1AB,NCOKT1AB,94428,525/230/22,200,2003.0,2023-11-24,2019-12-29,17263,49782,2195,343.0,7960,4781.0,5233,4996,731.0,3712.0,167.0,46.0,
NCO,KT1AC,NCOKT1AC,94429,525/230/22,200,2003.0,2021-08-27,2021-08-27,15135,62700,269,316.0,8975,3336.0,1873,2630,353.0,168.0,15.0,,
NCO,KT1AC,NCOKT1AC,94429,525/230/22,200,2003.0,2023-11-24,2024-01-15,29083,56047,561,280.0,6565,4030.0,5331,4823,659.0,3648.0,167.0,48.0,
NCO,KT2AA,NCOKT2AA,94440,525/230/22,200,2003.0,2023-11-24,2023-12-29,18106,44668,2156,288.0,4650,3699.0,4892,4601,575.0,3611.0,144.0,30.0,
NCO,KT2AB,NCOKT2AB,94441,525/230/22,200,2003.0,2023-11-24,2023-12-29,27146,42903,2234,283.0,2703,2226.0,4079,3755,409.0,3886.0,131.0,30.0,
NCO,KT2AC,NCOKT2AC,94442,525/230/22,200,2003.0,2023-11-24,2024-01-15,31338,54369,2106,351.0,5685,3556.0,5373,4850,562.0,4778.0,153.0,50.0,
NCO,KT3AA,NCOKT3AA,88900014,525/242/22,200,,2023-11-24,2024-01-15,34092,58164,2134,304.0,5572,2116.0,1969,1891,192.0,1285.0,45.0,50.0,
NCO,KT3AB,NCOKT3AB,88900015,525/242/22,200,,2023-11-24,2024-01-15,23937,59551,2357,429.0,10796,2524.0,2392,2155,212.0,1530.0,47.0,50.0,
