LOC,NAME,CODETX,SER,KV,MVA,YEAR_Energized,Sample Day,Tested Day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TEMP,NB
BPL,KT3AA,BPLKT3AA,AV69020T2,220/115/11,200,2003.0,2023-11-26,2024-01-06,18570,33670,1613,151.0,9287,5092.0,12491,23528,2829.0,6547.0,151.0,32.0,
BPL,KT3AA,BPLKT3AA,AV69020T2,220/115/11,200,2003.0,2020-11-20,2020-12-06,37363,66738,1209,31.0,220,1141.0,2375,4539,644.0,17.0,0.0,44.0,
BPL,KT3AB,BPLKT3AB,AV69020T2,220/115/11,200,2003.0,2023-11-26,2024-01-05,7850,35230,2299,222.0,21344,6947.0,17936,29536,3426.0,7156.0,166.0,32.0,
BPL,KT3AB,BPLKT3AB,AV69020T2,220/115/11,200,2003.0,2020-11-20,2020-12-04,8924,54639,3331,208.0,7859,3544.0,10443,6807,744.0,62.0,0.0,44.0,
BPL,KT3AC,BPLKT3AC,AV69020T2,220/115/11,200,2003.0,2020-11-20,2020-12-06,37568,66890,1359,34.0,139,964.0,3447,3139,400.0,10.0,0.0,44.0,
BPL,KT3AC,BPLKT3AC,AV69020T2,220/115/11,200,2003.0,2023-11-26,2024-01-05,9330,32700,2108,186.0,22273,7681.0,12552,35730,3899.0,6832.0,156.0,32.0,
BPL,KT4AA,BPLKT4AA,91900005,220/69/11,200,2004.0,2023-11-26,2024-01-06,38710,51500,167,59.0,1955,267.0,1033,822,97.0,414.0,3.0,58.0,
BPL,KT4AA,BPLKT4AA,91900005,220/69/11,200,2004.0,2020-11-20,2020-12-06,24517,56865,1362,128.0,3714,5654.0,5069,35200,7518.0,5362.0,0.0,60.0,
BPL,KT4AB,BPLKT4AB,91900005,220/69/11,200,2004.0,2020-11-20,2021-01-09,10800,51875,1925,117.0,24,9538.0,8031,70155,2988.0,5181.0,197.0,46.0,
BPL,KT4AB,BPLKT4AB,91900005,220/69/11,200,2004.0,2023-11-26,2024-01-06,23690,34380,2115,146.0,718,164.0,153,560,73.0,1404.0,176.0,58.0,
BPL,KT4AC,BPLKT4AC,91900005,220/69/11,200,2004.0,2020-11-20,2020-11-23,4436,38105,353,82.0,23178,14919.0,9937,80359,17173.0,6085.0,195.0,60.0,
BPL,KT4AC,BPLKT4AC,91900005,220/69/11,200,2004.0,2023-11-26,2024-01-07,27420,37170,157,66.0,1780,269.0,892,971,135.0,703.0,3.0,58.0,
BPL,KT5AA,BPLKT5AA,95401,220/115/22,200,,2023-11-26,2024-01-05,19740,22850,639,96.0,19842,16706.0,23851,95835,28154.0,10777.0,364.0,58.0,
BPL,KT5AB,BPLKT5AB,95401,220/115/22,200,,2023-11-26,2024-01-06,18020,19440,432,77.0,19585,18850.0,25485,114579,40434.0,11414.0,468.0,58.0,
BPL,KT5AC,BPLKT5AC,95401,230/115/22,200,,2023-11-26,2024-01-05,8100,11060,438,59.0,34840,24652.0,27775,143691,48554.0,10773.0,582.0,58.0,
BPL,KT7AA,BPLKT7AA,8946786,230/72/11,200,,2023-11-26,2024-01-07,2300,33800,1294,164.0,13523,5532.0,36513,12623,2295.0,2851.0,97.0,48.0,
BPL,KT7AB,BPLKT7AB,8946786,230/72/11,200,,2023-11-26,2024-01-06,2130,24110,1240,164.0,24527,9131.0,34462,30914,6690.0,3223.0,113.0,48.0,
BPL,KT7AC,BPLKT7AC,8946786,230/72/11,200,,2023-11-26,2024-01-07,7920,24090,1354,191.0,32134,9636.0,39255,30552,6486.0,5539.0,117.0,48.0,
BR,KT1A,BRKT1A,338029,115/22,50,,2024-02-24,2024-04-09,20761,32738,2469,190.0,12413,17394.0,1990,185731,35608.0,23082.0,673.0,55.0,
BR,KT2A,BRKT2A,52009,115/22/11,50,,2022-11-23,2022-12-03,22604,58983,179,95.0,352,145.0,3696,518,69.0,149.0,219.0,51.0,
BSP,KT1AA,BSPKT1AA,103724,230/115,200,2007.0,2023-10-13,2023-12-09,24318,44726,1954,329.0,564,58.0,630,96,7.0,435.0,2.0,54.0,
BSP,KT1AB,BSPKT1AB,103724,230/115,200,2007.0,2023-10-13,2023-12-02,24189,55224,1655,281.0,1721,138.0,1388,123,6.0,30.0,2.0,54.0,
BSP,KT1AC,BSPKT1AC,103724,230/115,200,2007.0,2023-10-13,2023-12-02,23571,54768,1492,234.0,2028,195.0,1882,174,9.0,40.0,1.0,54.0,
BSP,KT2AA,BSPKT2AA,103725,230/115,200,2007.0,2023-10-13,2023-12-02,31832,48325,1631,326.0,1305,154.0,1309,155,13.0,307.0,2.0,57.0,
BSP,KT2AB,BSPKT2AB,103725,230/115,200,2007.0,2023-10-13,2023-12-09,25139,47558,1642,334.0,1394,166.0,1609,174,13.0,46.0,2.0,57.0,
BSP,KT2AC,BSPKT2AC,103725,230/115,200,2007.0,2023-10-13,2023-12-11,20990,47340,834,247.0,1467,193.0,2022,178,9.0,45.0,2.0,57.0,
BSP,KT3A,BSPKT3A,573082,115/22,25,2007.0,2023-10-13,2023-12-02,29541,41916,1059,202.0,1057,120.0,417,191,18.0,83.0,5.0,50.0,
BSP2,KT1AA,BSP2KT1AA,04900004,500,333.33,2018.0,2023-10-16,2023-12-02,17246,48435,839,183.0,818,102.0,771,89,4.0,24.0,7.0,54.0,
BSP2,KT1AA,BSP2KT1AA,04900004,500,333.33,2018.0,2024-02-17,2024-03-04,21640,37850,791,30.0,69,15.0,159,20,0.0,0.0,0.0,56.0,
BSP2,KT1AB,BSP2KT1AB,04900005,500,333.33,2018.0,2023-10-16,2023-12-09,15814,40335,1582,280.0,976,103.0,727,201,19.0,261.0,2.0,55.0,
BSP2,KT1AB,BSP2KT1AB,04900005,500,333.33,2018.0,2024-02-17,2024-03-04,18732,31437,556,32.0,70,10.0,89,11,0.0,0.0,0.0,58.0,
BSP2,KT1AC,BSP2KT1AC,04900006,500,333.33,,2023-10-16,2023-12-02,13120,47146,1688,292.0,1240,111.0,734,109,7.0,236.0,4.0,54.0,
BSP2,KT1AC,BSP2KT1AC,04900006,500,333.33,,2024-02-17,2024-03-04,27627,52311,593,26.0,0,36.0,10,97,14.0,0.0,0.0,58.0,
BWN,KT1AA,BWNKT1AA,5BK012801,230/121/22,200,2009.0,2024-02-23,2024-03-04,3543,52533,903,129.0,7893,764.0,5267,956,24.0,116.0,0.0,64.0,
BWN,KT1AA,BWNKT1AA,5BK012801,230/121/22,200,2009.0,2023-08-20,2023-09-15,8470,27900,1128,196.0,13206,3074.0,11394,9359,1783.0,941.0,20.0,64.0,
BWN,KT1AB,BWNKT1AB,5BK012801,230/121/22,200,2009.0,2024-02-23,2024-03-04,7162,50700,817,107.0,5983,643.0,4255,817,21.0,77.0,0.0,64.0,
BWN,KT1AB,BWNKT1AB,5BK012801,230/121/22,200,2009.0,2023-08-20,2023-09-11,14790,37850,691,174.0,9470,2599.0,1048,7037,1252.0,962.0,20.0,64.0,
BWN,KT1AC,BWNKT1AC,5BK012801,230/121/22,200,2009.0,2024-02-23,2024-03-05,1754,47583,860,106.0,6964,643.0,4513,719,73.0,89.0,0.0,64.0,
BWN,KT1AC,BWNKT1AC,5BK012801,230/121/22,200,2009.0,2023-08-20,2023-09-11,22990,38720,489,164.0,5853,1594.0,7641,4387,771.0,814.0,18.0,64.0,
BWN,KT2AA,BWNKT2AA,N407930,230/115/22,200,,2023-08-20,2023-09-11,8960,38350,857,182.0,4384,3596.0,1625,1072,1950.0,1025.0,23.0,62.0,
BWN,KT2AA,BWNKT2AA,N407930,230/115/22,200,,2024-02-23,2024-03-09,4612,37983,671,33.0,5579,238.0,1450,222,8.0,0.0,0.0,60.0,
BWN,KT2AB,BWNKT2AB,N407930,230/115/22,200,,2024-02-23,2024-03-04,5723,36058,609,47.0,6987,304.0,1743,321,9.0,7.0,0.0,60.0,
BWN,KT2AB,BWNKT2AB,N407930,230/115/22,200,,2023-08-20,2023-09-11,21250,40190,444,165.0,8636,2061.0,9337,6075,1020.0,827.0,18.0,62.0,
BWN,KT2AC,BWNKT2AC,N407930,230/115/22,200,,2024-02-23,2024-03-04,5094,25343,501,33.0,5632,220.0,1305,296,12.0,0.0,0.0,60.0,
BWN,KT2AC,BWNKT2AC,N407930,230/115/22,200,,2023-08-20,2023-09-12,15170,36640,785,118.0,6328,4698.0,10568,18107,3553.0,986.0,24.0,62.0,
BWN,KT3AA,BWNKT3AA,A1E69002T3-1,230/115,200,2011.0,2023-08-19,2023-09-12,11230,30720,425,118.0,18816,4295.0,14117,14204,3489.0,911.0,16.0,53.0,
BWN,KT3AA,BWNKT3AA,A1E69002T3-1,230/115,200,2011.0,2024-02-23,2024-03-05,4245,26017,399,42.0,5068,279.0,1996,369,13.0,0.0,0.0,50.0,
BWN,KT3AB,BWNKT3AB,A1E69002T3-1,230/115,200,2011.0,2023-08-19,2023-09-12,9270,29980,456,107.0,17775,3958.0,12067,12170,2896.0,799.0,16.0,53.0,
BWN,KT3AB,BWNKT3AB,A1E69002T3-1,230/115,200,2011.0,2024-02-23,2024-03-05,4025,19481,317,72.0,3172,178.0,1264,245,8.0,0.0,0.0,50.0,
BWN,KT3AC,BWNKT3AC,A1E69002T3-1,230/115,200,2011.0,2024-02-23,2024-03-04,7233,18599,230,30.0,542,44.0,297,96,5.0,0.0,0.0,50.0,
BWN,KT3AC,BWNKT3AC,A1E69002T3-1,230/115,200,2011.0,2023-08-19,2023-09-12,17590,25620,162,88.0,14162,3611.0,12140,13434,3620.0,851.0,18.0,53.0,
CC,KT1A,CCKT1A,573076,115/22,40,1998.0,2023-03-04,2023-03-12,7672,43759,1364,207.0,18984,3491.0,33105,4553,381.0,1078.0,37.0,57.0,
CHW,KT1AA,CHWKT1AA,N408177,230/121/22,300,2009.0,2023-11-06,2023-11-28,40376,44531,5942,108.0,3153,2694.0,3412,13120,6801.0,1711.0,60.0,66.0,
CHW,KT1AA,CHWKT1AA,N408177,230/121/22,300,2009.0,2024-06-04,2024-06-08,16874,32556,10883,210.0,10880,10538.0,6638,25525,23579.0,9699.0,266.0,65.0,
CHW,KT1AB,CHWKT1AB,N408177,230/121/22,300,2009.0,2023-11-06,2023-11-28,37475,40427,6308,229.0,3881,3294.0,686,17951,10172.0,1769.0,91.0,66.0,
CHW,KT1AB,CHWKT1AB,N408177,230/121/22,300,2009.0,2024-06-04,2024-06-08,16874,42553,11359,413.0,21370,16897.0,1237,45393,39117.0,13372.0,328.0,65.0,
CHW,KT1AC,CHWKT1AC,N408177,230/121/22,300,2009.0,2024-06-04,2024-06-08,15397,38402,19674,318.0,25131,20164.0,1748,67312,55177.0,7841.0,395.0,65.0,
CHW,KT1AC,CHWKT1AC,N408177,230/121/22,300,2009.0,2023-11-06,2023-11-27,26724,32734,9187,151.0,14024,4883.0,804,21773,15656.0,1827.0,106.0,66.0,
CHW,KT2AA,CHWKT2AA,N 408034,230/121/22,300,,2024-06-04,2024-06-08,17853,41071,8423,69.0,12821,11806.0,7653,44722,26692.0,6367.0,344.0,65.0,
CHW,KT2AA,CHWKT2AA,N 408034,230/121/22,300,,2023-11-06,2023-11-25,23461,37059,4181,19.0,5310,3140.0,3525,15993,7073.0,1833.0,73.0,66.0,
CHW,KT2AA,CHWKT2AA,N 408034,230/121/22,300,,2023-08-04,2023-08-17,40899,74822,66,20.0,12888,5288.0,3220,27701,12732.0,2017.0,71.0,,
CHW,KT2AB,CHWKT2AB,N 408034,230/121/22,300,,2023-08-04,2023-08-12,26630,35920,26,24.0,14038,4229.0,743,25118,10389.0,1851.0,62.0,,
CHW,KT2AB,CHWKT2AB,N 408034,230/121/22,300,,2023-11-06,2023-11-28,34035,39687,4651,194.0,5049,3807.0,501,21647,1027.0,2258.0,112.0,66.0,
CHW,KT2AB,CHWKT2AB,N 408034,230/121/22,300,,2024-06-04,2024-06-08,21057,43435,9102,381.0,14794,14546.0,696,47840,38099.0,12891.0,402.0,65.0,
CHW,KT2AC,CHWKT2AC,N 408034,230/121/22,300,,2023-11-06,2023-11-28,38587,41623,4331,129.0,3446,3488.0,2888,26175,2112.0,2494.0,103.0,66.0,
CHW,KT2AC,CHWKT2AC,N 408034,230/121/22,300,,2023-08-04,2023-08-12,30340,33250,75,16.0,12820,3969.0,5888,22490,10360.0,2157.0,48.0,,
CHW,KT2AC,CHWKT2AC,N 408034,230/121/22,300,,2024-06-04,2024-06-08,24105,39094,8019,242.0,10444,10636.0,3257,68812,53434.0,8871.0,488.0,65.0,
CM1,KT1A,CM1KT1A,8P8744T1,115/22,50,,2019-09-23,2019-09-27,19253,68792,1774,119.0,304,85.0,2531,327,13.0,111.0,0.0,58.0,
CM1,KT1A,CM1KT1A,8P8744T1,115/22,50,,2024-05-11,2024-06-01,12712,51916,1602,150.0,161,83.0,2563,282,13.0,249.0,11.0,58.0,
CM1,KT1A,CM1KT1A,8P8744T1,115/22,50,,2021-04-10,2021-10-21,21794,72066,954,0.0,129,36.0,801,92,10.0,27.0,0.0,,
CM1,KT2A,CM1KT2A,8P8744T2,115/22,50,,2021-04-10,2021-10-21,36948,68604,845,0.0,73,37.0,801,108,10.0,0.0,0.0,,
CM1,KT2A,CM1KT2A,8P8744T2,115/22,50,,2019-09-23,2019-09-27,18263,62184,1361,105.0,268,63.0,1844,234,9.0,95.0,0.0,55.0,
CM1,KT2A,CM1KT2A,8P8744T2,115/22,50,,2024-05-11,2024-06-01,13164,48933,1767,110.0,137,86.0,2896,340,15.0,195.0,12.0,0.0,
CM2,KT1A,CM2KT1A,8R8398T1,115/22,50,2007.0,2021-04-12,2021-10-22,31073,60637,475,0.0,64,0.0,143,22,0.0,0.0,0.0,,
CM2,KT2A,CM2KT2A,8R8406T1,115/22,50,2007.0,2021-04-10,2021-10-21,32192,62070,705,0.0,79,0.0,151,0,0.0,0.0,0.0,,
CM3,KT1A,CM3KT1A,AN69003T2,115/22,50,,2021-04-10,2021-10-21,19661,81680,3425,272.0,979,509.0,11606,3153,192.0,886.0,0.0,,
CM3,KT2A,CM3KT2A,8P9092T1,115/22,50,,2021-04-11,2021-10-22,31658,67056,1243,0.0,74,44.0,1084,148,10.0,16.0,0.0,,
CM3,KT3AA,CM3KT3AA,N 407920,230/115,200,,2021-04-10,2021-10-31,7377,46480,2670,482.0,10485,2921.0,15513,3869,400.0,1443.0,0.0,,
CM3,KT3AA,CM3KT3AA,N 407920,230/115,200,,2021-10-01,2021-11-13,9443,45006,2668,487.0,12386,3325.0,14514,5420,642.0,1708.0,0.0,,
CM3,KT3AA,CM3KT3AA,N 407920,230/115,200,,2023-03-24,2023-03-31,6045,56411,4695,489.0,13303,3416.0,13404,8533,1215.0,1070.0,40.0,,
CM3,KT3AB,CM3KT3AB,N 407920,230/115,200,,2021-04-10,2021-10-31,26057,56534,1523,247.0,946,979.0,6151,1338,120.0,489.0,0.0,,
CM3,KT3AB,CM3KT3AB,N 407920,230/115,200,,2021-10-01,2021-11-14,13427,53528,2556,492.0,7657,1801.0,9787,2395,218.0,721.0,0.0,,
CM3,KT3AB,CM3KT3AB,N 407920,230/115,200,,2023-03-24,2023-03-31,12705,58102,3841,375.0,5017,1382.0,7928,2978,335.0,1559.0,172.0,,
CM3,KT3AC,CM3KT3AC,N 407920,230/115,200,,2021-10-01,2021-11-14,16369,55604,2245,472.0,8759,1321.0,7616,1749,159.0,406.0,7.0,,
CM3,KT3AC,CM3KT3AC,N 407920,230/115,200,,2023-03-24,2023-03-31,15701,58332,3022,296.0,3738,823.0,5214,1843,190.0,1025.0,68.0,,
CM3,KT3AC,CM3KT3AC,N 407920,230/115,200,,2021-04-10,2021-10-24,42514,64952,924,8.0,3,84.0,2706,710,78.0,314.0,0.0,,
CM3,KT4A,CM3KT4A,407922,230/115/22,200,,2021-04-10,2021-10-28,19543,57136,2216,248.0,3179,1487.0,8033,1897,159.0,474.0,0.0,,
CM3,KT4AA,CM3KT4AA,N 407922,230/115,200,,2021-10-01,2021-11-14,6653,45404,2778,517.0,12676,2999.0,14663,4938,579.0,1492.0,0.0,,
CM3,KT4AA,CM3KT4AA,N 407922,230/115,200,,2021-04-10,2021-10-31,16074,48568,2382,412.0,5234,2202.0,13096,3120,317.0,1146.0,0.0,,
CM3,KT4AB,CM3KT4AB,N 407922,230/115,200,,2021-10-01,2021-11-13,17409,54574,2368,454.0,5729,1552.0,8230,2043,185.0,583.0,0.0,,
CM3,KT4AC,CM3KT4AC,N 407922,230/115,200,,2021-10-01,2021-11-13,21916,60005,2036,341.0,4258,1094.0,6446,1532,143.0,380.0,11.0,58.0,
CM3,KT4AC,CM3KT4AC,N 407922,230/115,200,,2021-04-10,2021-10-28,29574,58441,1368,89.0,650,706.0,4416,1067,94.0,389.0,0.0,,
