Année,Total,Pêche - Total,Pêche - Maritime,Pêche - Eau douce,Aquaculture - Total,Aquaculture - Côtière,Aquaculture - Eau douce
2557,2567799,1670037,1488280,181757,897762,482638,415124
2558,2421707,1501318,1317217,184101,920389,508861,411528
2559,2413950,1532180,1343293,188887,881770,500190,381580
2560,2381650,1493044,1300421,192623,888606,481398,407208
2561,2458632,1536756,1392931,143825,921876,496036,425840
2562,2490598,1527182,1410717,116465,963416,536467,426949
2563,2616981,1588859,1472009,116850,1028125,556887,471238
2564,2402987,1412523,1299519,112804,990464,543134,450730
2565,2386479,1385492,1279757,105735,1000987,534636,466951
2566,2466694,1464674,1352025,112649,1001220,541240,459980
2567*,2533939,1519926,1410852,109074,1014013,533644,453389
2568*,2432818,1438502,1332970,105532,994316,528928,465388
2569*,2466925,1449179,1367093,102086,1007746,527117,470659
2570*,2508657,1501352,1402570,98782,1007305,531541,475784
